Start Date,1/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AAPL US Equity,,,,,,,,,META US Equity,,,,,,,,,NFLX US Equity,,,,,,,,,GOOG US Equity,,,,,,,,,AMZN US Equity,,,,,,,,,SPX Index,,,,,,,,
,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
Dates,PX_CLOSE_1D,EV_EBIT_ADJUSTED,GEO_GROW_NET_SALES,FREE_CASH_FLOW_YIELD,PE_RATIO,BEST_PEG_RATIO,PX_TO_SALES_RATIO,EBITDA_TO_REVENUE,PROF_MARGIN,PX_CLOSE_1D,EV_EBIT_ADJUSTED,GEO_GROW_NET_SALES,FREE_CASH_FLOW_YIELD,PE_RATIO,BEST_PEG_RATIO,PX_TO_SALES_RATIO,EBITDA_TO_REVENUE,PROF_MARGIN,PX_CLOSE_1D,EV_EBIT_ADJUSTED,GEO_GROW_NET_SALES,FREE_CASH_FLOW_YIELD,PE_RATIO,BEST_PEG_RATIO,PX_TO_SALES_RATIO,EBITDA_TO_REVENUE,PROF_MARGIN,PX_CLOSE_1D,EV_EBIT_ADJUSTED,GEO_GROW_NET_SALES,FREE_CASH_FLOW_YIELD,PE_RATIO,BEST_PEG_RATIO,PX_TO_SALES_RATIO,EBITDA_TO_REVENUE,PROF_MARGIN,PX_CLOSE_1D,EV_EBIT_ADJUSTED,GEO_GROW_NET_SALES,FREE_CASH_FLOW_YIELD,PE_RATIO,BEST_PEG_RATIO,PX_TO_SALES_RATIO,EBITDA_TO_REVENUE,PROF_MARGIN,PX_CLOSE_1D,EV_EBIT_ADJUSTED,GEO_GROW_NET_SALES,FREE_CASH_FLOW_YIELD,PE_RATIO,BEST_PEG_RATIO,PX_TO_SALES_RATIO,EBITDA_TO_REVENUE,PROF_MARGIN
#NAME?,42.77,#N/A N/A,#N/A N/A,6.1357,17.5935,#N/A N/A,3.6518,#N/A N/A,#N/A N/A,#NAME?,#N/A N/A,#N/A N/A,3.4152,28.6533,#N/A N/A,12.5942,#N/A N/A,#N/A N/A,#NAME?,#N/A N/A,#N/A N/A,-2.3757,150.1898,#N/A N/A,7.0914,#N/A N/A,#N/A N/A,#NAME?,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#NAME?,#N/A N/A,#N/A N/A,1.128,190.1577,#N/A N/A,3.1589,#N/A N/A,#N/A N/A,#NAME?,#N/A N/A,#N/A N/A,4.26,22.4278,#N/A N/A,2.2551,#N/A N/A,9.19
1/2/2018,42.308,#N/A N/A,#N/A N/A,6.0278,17.9085,#N/A N/A,3.7171,#N/A N/A,#N/A N/A,176.46,#N/A N/A,#N/A N/A,3.3218,29.4587,#N/A N/A,12.9482,#N/A N/A,#N/A N/A,191.96,#N/A N/A,#N/A N/A,-2.2681,157.3175,#N/A N/A,7.4279,#N/A N/A,#N/A N/A,52.32,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,58.474,#N/A N/A,#N/A N/A,1.1095,193.335,#N/A N/A,3.2117,#N/A N/A,#N/A N/A,2673.61,#N/A N/A,#N/A N/A,4.06,21.7321,#N/A N/A,2.2282,#N/A N/A,9.19
1/3/2018,43.065,#N/A N/A,#N/A N/A,6.0288,17.9053,#N/A N/A,3.7165,#N/A N/A,#N/A N/A,181.42,#N/A N/A,#N/A N/A,3.2634,29.9864,#N/A N/A,13.1801,#N/A N/A,#N/A N/A,201.07,#N/A N/A,#N/A N/A,-2.2241,160.4314,#N/A N/A,7.575,#N/A N/A,#N/A N/A,53.25,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,59.451,#N/A N/A,#N/A N/A,1.0955,195.8049,#N/A N/A,3.2527,#N/A N/A,#N/A N/A,2695.81,#N/A N/A,#N/A N/A,4.04,21.8675,#N/A N/A,2.2407,#N/A N/A,9.18
1/4/2018,43.058,#N/A N/A,#N/A N/A,6.001,17.9885,#N/A N/A,3.7338,#N/A N/A,#N/A N/A,184.67,#N/A N/A,#N/A N/A,3.2694,29.9312,#N/A N/A,13.1559,#N/A N/A,#N/A N/A,205.05,#N/A N/A,#N/A N/A,-2.2178,160.8852,#N/A N/A,7.5964,#N/A N/A,#N/A N/A,54.124,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,60.21,#N/A N/A,#N/A N/A,1.0906,196.6813,#N/A N/A,3.2673,#N/A N/A,#N/A N/A,2713.06,#N/A N/A,#N/A N/A,4.02,21.9549,#N/A N/A,2.2497,#N/A N/A,9.18
1/5/2018,43.258,#N/A N/A,#N/A N/A,5.9334,18.1933,#N/A N/A,3.7763,#N/A N/A,#N/A N/A,184.33,#N/A N/A,#N/A N/A,3.2253,30.3404,#N/A N/A,13.3357,#N/A N/A,#N/A N/A,205.63,#N/A N/A,#N/A N/A,-2.1718,164.2965,#N/A N/A,7.7575,#N/A N/A,#N/A N/A,54.32,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,60.479,#N/A N/A,#N/A N/A,1.0733,199.8602,#N/A N/A,3.3201,#N/A N/A,#N/A N/A,2723.99,#N/A N/A,#N/A N/A,3.99,22.1094,#N/A N/A,2.2655,#N/A N/A,9.18
1/8/2018,43.75,#N/A N/A,#N/A N/A,5.9555,18.1257,#N/A N/A,3.7622,#N/A N/A,#N/A N/A,186.85,#N/A N/A,#N/A N/A,3.2008,30.5726,#N/A N/A,13.4378,#N/A N/A,#N/A N/A,209.99,#N/A N/A,#N/A N/A,-2.1507,165.9083,#N/A N/A,7.8336,#N/A N/A,#N/A N/A,55.112,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,61.457,#N/A N/A,#N/A N/A,1.058,202.7431,#N/A N/A,3.368,#N/A N/A,#N/A N/A,2743.15,#N/A N/A,#N/A N/A,3.99,22.1463,#N/A N/A,2.2693,#N/A N/A,9.18
1/9/2018,43.588,#N/A N/A,#N/A N/A,5.9562,18.1237,#N/A N/A,3.7618,#N/A N/A,#N/A N/A,188.28,#N/A N/A,#N/A N/A,3.2078,30.5061,#N/A N/A,13.4085,#N/A N/A,#N/A N/A,212.05,#N/A N/A,#N/A N/A,-2.1788,163.7645,#N/A N/A,7.7323,#N/A N/A,#N/A N/A,55.347,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,62.343,#N/A N/A,#N/A N/A,1.0531,203.6911,#N/A N/A,3.3837,#N/A N/A,#N/A N/A,2747.71,#N/A N/A,#N/A N/A,3.98,22.1752,#N/A N/A,2.2722,#N/A N/A,9.18
1/10/2018,43.583,#N/A N/A,#N/A N/A,5.9576,18.1195,#N/A N/A,3.7609,#N/A N/A,#N/A N/A,187.87,#N/A N/A,#N/A N/A,3.2083,30.5012,#N/A N/A,13.4064,#N/A N/A,#N/A N/A,209.31,#N/A N/A,#N/A N/A,-2.1459,166.276,#N/A N/A,7.8509,#N/A N/A,#N/A N/A,55.313,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,62.635,#N/A N/A,#N/A N/A,1.0517,203.9561,#N/A N/A,3.3881,#N/A N/A,#N/A N/A,2751.29,#N/A N/A,#N/A N/A,3.99,22.1502,#N/A N/A,2.2697,#N/A N/A,9.18
1/11/2018,43.573,#N/A N/A,#N/A N/A,5.9239,18.2224,#N/A N/A,3.7823,#N/A N/A,#N/A N/A,187.84,#N/A N/A,#N/A N/A,3.2095,30.4898,#N/A N/A,13.4014,#N/A N/A,#N/A N/A,212.52,#N/A N/A,#N/A N/A,-2.0993,169.9689,#N/A N/A,8.0253,#N/A N/A,#N/A N/A,55.131,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,62.717,#N/A N/A,#N/A N/A,1.0333,207.5902,#N/A N/A,3.4485,#N/A N/A,#N/A N/A,2748.23,#N/A N/A,#N/A N/A,3.96,22.3049,#N/A N/A,2.2855,#N/A N/A,9.18
