,AAPL US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMZN US Equity,,,,,,,,,SPX Index,,,,,,,,
Dates,PX_CLOSE_1D,EV_EBIT_ADJUSTED,GEO_GROW_NET_SALES,FREE_CASH_FLOW_YIELD,PE_RATIO,BEST_PEG_RATIO,PX_TO_SALES_RATIO,EBITDA_TO_REVENUE,PROF_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,PX_CLOSE_1D,EV_EBIT_ADJUSTED,GEO_GROW_NET_SALES,FREE_CASH_FLOW_YIELD,PE_RATIO,BEST_PEG_RATIO,PX_TO_SALES_RATIO,EBITDA_TO_REVENUE,PROF_MARGIN,PX_CLOSE_1D,EV_EBIT_ADJUSTED,GEO_GROW_NET_SALES,FREE_CASH_FLOW_YIELD,PE_RATIO,BEST_PEG_RATIO,PX_TO_SALES_RATIO,EBITDA_TO_REVENUE,PROF_MARGIN
#NAME?,42.77,#N/A N/A,#N/A N/A,6.1357,17.5935,#N/A N/A,3.6518,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,#NAME?,#N/A N/A,#N/A N/A,1.128,190.1577,#N/A N/A,3.1589,#N/A N/A,#N/A N/A,#NAME?,#N/A N/A,#N/A N/A,4.26,22.4278,#N/A N/A,2.2551,#N/A N/A,9.19
1/2/2018,42.308,#N/A N/A,#N/A N/A,6.0278,17.9085,#N/A N/A,3.7171,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.474,#N/A N/A,#N/A N/A,1.1095,193.335,#N/A N/A,3.2117,#N/A N/A,#N/A N/A,2673.61,#N/A N/A,#N/A N/A,4.06,21.7321,#N/A N/A,2.2282,#N/A N/A,9.19
1/3/2018,43.065,#N/A N/A,#N/A N/A,6.0288,17.9053,#N/A N/A,3.7165,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.451,#N/A N/A,#N/A N/A,1.0955,195.8049,#N/A N/A,3.2527,#N/A N/A,#N/A N/A,2695.81,#N/A N/A,#N/A N/A,4.04,21.8675,#N/A N/A,2.2407,#N/A N/A,9.18
1/4/2018,43.058,#N/A N/A,#N/A N/A,6.001,17.9885,#N/A N/A,3.7338,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.21,#N/A N/A,#N/A N/A,1.0906,196.6813,#N/A N/A,3.2673,#N/A N/A,#N/A N/A,2713.06,#N/A N/A,#N/A N/A,4.02,21.9549,#N/A N/A,2.2497,#N/A N/A,9.18
1/5/2018,43.258,#N/A N/A,#N/A N/A,5.9334,18.1933,#N/A N/A,3.7763,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.479,#N/A N/A,#N/A N/A,1.0733,199.8602,#N/A N/A,3.3201,#N/A N/A,#N/A N/A,2723.99,#N/A N/A,#N/A N/A,3.99,22.1094,#N/A N/A,2.2655,#N/A N/A,9.18
1/8/2018,43.75,#N/A N/A,#N/A N/A,5.9555,18.1257,#N/A N/A,3.7622,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.457,#N/A N/A,#N/A N/A,1.058,202.7431,#N/A N/A,3.368,#N/A N/A,#N/A N/A,2743.15,#N/A N/A,#N/A N/A,3.99,22.1463,#N/A N/A,2.2693,#N/A N/A,9.18
1/9/2018,43.588,#N/A N/A,#N/A N/A,5.9562,18.1237,#N/A N/A,3.7618,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.343,#N/A N/A,#N/A N/A,1.0531,203.6911,#N/A N/A,3.3837,#N/A N/A,#N/A N/A,2747.71,#N/A N/A,#N/A N/A,3.98,22.1752,#N/A N/A,2.2722,#N/A N/A,9.18
1/10/2018,43.583,#N/A N/A,#N/A N/A,5.9576,18.1195,#N/A N/A,3.7609,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.635,#N/A N/A,#N/A N/A,1.0517,203.9561,#N/A N/A,3.3881,#N/A N/A,#N/A N/A,2751.29,#N/A N/A,#N/A N/A,3.99,22.1502,#N/A N/A,2.2697,#N/A N/A,9.18
1/11/2018,43.573,#N/A N/A,#N/A N/A,5.9239,18.2224,#N/A N/A,3.7823,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.717,#N/A N/A,#N/A N/A,1.0333,207.5902,#N/A N/A,3.4485,#N/A N/A,#N/A N/A,2748.23,#N/A N/A,#N/A N/A,3.96,22.3049,#N/A N/A,2.2855,#N/A N/A,9.18
